case_id,conflict_idx,condition,n_tokens,errored
0xcc58aa7405057a6e,1,skill-v1-sys,887,0
0xcc58aa7405057a6e,1,skill-v1-user,908,0
0x22df6c429aa698a,1,no-skill,389,0
0x22df6c429aa698a,1,skill-v1-sys,713,0
0x22df6c429aa698a,1,skill-v1-user,734,0
0xcc13c1de9063d717,1,no-skill,562,0
0xcc13c1de9063d717,1,skill-v1-sys,886,0
0xcc13c1de9063d717,1,skill-v1-user,907,0
0x58e68bca4bac4ef6,1,no-skill,767,0
0x58e68bca4bac4ef6,1,skill-v1-sys,1091,0
0x58e68bca4bac4ef6,1,skill-v1-user,1112,0
0x6d58516ff5205a0f,1,no-skill,554,0
0x6d58516ff5205a0f,1,skill-v1-sys,878,0
0x6d58516ff5205a0f,1,skill-v1-user,899,0
0xdceea867fe27fb1f,1,no-skill,468,0
0xdceea867fe27fb1f,1,skill-v1-sys,792,0
0xdceea867fe27fb1f,1,skill-v1-user,813,0
0xb4031134232948d0,1,no-skill,767,0
0xb4031134232948d0,1,skill-v1-sys,1091,0
0xb4031134232948d0,1,skill-v1-user,1112,0
0xf2fa4ac515a8a414,1,no-skill,1228,0
0xf2fa4ac515a8a414,1,skill-v1-sys,1552,0
0xf2fa4ac515a8a414,1,skill-v1-user,1573,0
0x7796d5de7bf3f6ad,1,no-skill,472,0
0x7796d5de7bf3f6ad,1,skill-v1-sys,796,0
0x7796d5de7bf3f6ad,1,skill-v1-user,817,0
0x9246ff858eacab21,1,no-skill,550,0
0x9246ff858eacab21,1,skill-v1-sys,874,0
0x9246ff858eacab21,1,skill-v1-user,895,0
0x8ab0eef32155c358,1,no-skill,500,0
0x8ab0eef32155c358,1,skill-v1-sys,824,0
0x8ab0eef32155c358,1,skill-v1-user,845,0
0xeb59b634107b3705,1,no-skill,450,0
0xeb59b634107b3705,1,skill-v1-sys,774,0
0xeb59b634107b3705,1,skill-v1-user,795,0
0x151cb3267630e8a9,1,no-skill,628,0
0x151cb3267630e8a9,1,skill-v1-sys,952,0
0x151cb3267630e8a9,1,skill-v1-user,973,0
0x67227c4eec67f456,1,no-skill,673,0
0x67227c4eec67f456,1,skill-v1-sys,997,0
0x67227c4eec67f456,1,skill-v1-user,1018,0
0xc5e3242251f9dd20,1,no-skill,420,0
0xc5e3242251f9dd20,1,skill-v1-sys,744,0
0xc5e3242251f9dd20,1,skill-v1-user,765,0
0xd04ef4728616a932,1,no-skill,378,0
0xd04ef4728616a932,1,skill-v1-sys,702,0
0xd04ef4728616a932,1,skill-v1-user,723,0
0x18ecc52a5d76fe93,1,no-skill,560,0
0x18ecc52a5d76fe93,1,skill-v1-sys,884,0
0x18ecc52a5d76fe93,1,skill-v1-user,905,0
0x7af4ff66f3c1bc52,1,no-skill,1526,0
0x7af4ff66f3c1bc52,1,skill-v1-sys,1850,0
0x7af4ff66f3c1bc52,1,skill-v1-user,1871,0
0xd76051167db33e0d,1,no-skill,810,1
0xd76051167db33e0d,1,skill-v1-sys,1134,1
0xd76051167db33e0d,1,skill-v1-user,1155,1
0x1f17fc236bd2ca47,1,no-skill,716,1
0x1f17fc236bd2ca47,1,skill-v1-sys,1040,1
0x1f17fc236bd2ca47,1,skill-v1-user,1061,1
0x7d051ba5578ccbe5,1,no-skill,463,1
0x7d051ba5578ccbe5,1,skill-v1-sys,787,1
0x7d051ba5578ccbe5,1,skill-v1-user,808,1
0x8e0710f73621f7,1,no-skill,564,1
0x8e0710f73621f7,1,skill-v1-sys,888,1
0x8e0710f73621f7,1,skill-v1-user,909,1
0x24060b8f0b4825c3,1,no-skill,629,1
0x24060b8f0b4825c3,1,skill-v1-sys,953,1
0x24060b8f0b4825c3,1,skill-v1-user,974,1
0xd08e7aeb09d3af7b,1,no-skill,927,1
0xd08e7aeb09d3af7b,1,skill-v1-sys,1251,1
0xd08e7aeb09d3af7b,1,skill-v1-user,1272,1
0x84bee6d563ffb40f,1,no-skill,690,1
0x84bee6d563ffb40f,1,skill-v1-sys,1014,1
0x84bee6d563ffb40f,1,skill-v1-user,1035,1
0x429876f7391e4a4f,1,no-skill,370,1
0x429876f7391e4a4f,1,skill-v1-sys,694,1
0x429876f7391e4a4f,1,skill-v1-user,715,1
0x8ed0d9b0803f5f0e,1,no-skill,1041,1
0x8ed0d9b0803f5f0e,1,skill-v1-sys,1365,1
0x8ed0d9b0803f5f0e,1,skill-v1-user,1386,1
0xb179e11ea1f8c29b,1,no-skill,546,1
0xb179e11ea1f8c29b,1,skill-v1-sys,870,1
0xb179e11ea1f8c29b,1,skill-v1-user,891,1
0xdd2c97e79b2d48e1,1,no-skill,463,1
0xdd2c97e79b2d48e1,1,skill-v1-sys,787,1
0xdd2c97e79b2d48e1,1,skill-v1-user,808,1
0xbe2a39280ef32b2f,1,no-skill,942,1
0xbe2a39280ef32b2f,1,skill-v1-sys,1266,1
0xbe2a39280ef32b2f,1,skill-v1-user,1287,1
0x14b797ad09093793,1,no-skill,2901,1
0x14b797ad09093793,1,skill-v1-sys,3225,1
0x14b797ad09093793,1,skill-v1-user,3246,1
0x184cb17806facc66,1,no-skill,455,1
0x184cb17806facc66,1,skill-v1-sys,779,1
0x184cb17806facc66,1,skill-v1-user,800,1
0x809e13a96a8dd003,1,no-skill,571,1
0x809e13a96a8dd003,1,skill-v1-sys,895,1
0x809e13a96a8dd003,1,skill-v1-user,916,1
0x8b9b5cbc31702434,1,no-skill,423,1
0x8b9b5cbc31702434,1,skill-v1-sys,747,1
0x8b9b5cbc31702434,1,skill-v1-user,768,1
0xabc6b7aa7acd7e1c,1,no-skill,714,1
0xabc6b7aa7acd7e1c,1,skill-v1-sys,1038,1
0xabc6b7aa7acd7e1c,1,skill-v1-user,1059,1
0xe7afd9e7a6d762e0,1,no-skill,3087,0
0xe7afd9e7a6d762e0,1,skill-v1-sys,3411,0
0xe7afd9e7a6d762e0,1,skill-v1-user,3432,0
0xfe73592db8c6fca5,1,no-skill,499,0
0xfe73592db8c6fca5,1,skill-v1-sys,823,0
0xfe73592db8c6fca5,1,skill-v1-user,844,0
0xb2d296ebf86d85e9,1,no-skill,446,0
0xb2d296ebf86d85e9,1,skill-v1-sys,770,0
0xb2d296ebf86d85e9,1,skill-v1-user,791,0
0x6f8fa2e1ab7b9ee3,1,no-skill,408,0
0x6f8fa2e1ab7b9ee3,1,skill-v1-sys,732,0
0x6f8fa2e1ab7b9ee3,1,skill-v1-user,753,0
0xcd87a1506b573873,1,no-skill,664,0
0xcd87a1506b573873,1,skill-v1-sys,988,0
0xcd87a1506b573873,1,skill-v1-user,1009,0
0xffe96cc3c71c3d29,1,no-skill,671,0
0xffe96cc3c71c3d29,1,skill-v1-sys,995,0
0xffe96cc3c71c3d29,1,skill-v1-user,1016,0
0x24db97366bde1696,1,no-skill,718,0
0x24db97366bde1696,1,skill-v1-sys,1042,0
0x24db97366bde1696,1,skill-v1-user,1063,0
0x14269ef138048e4e,1,no-skill,450,0
0x14269ef138048e4e,1,skill-v1-sys,774,0
0x14269ef138048e4e,1,skill-v1-user,795,0
0xc19507510d685e14,1,no-skill,626,0
0xc19507510d685e14,1,skill-v1-sys,950,0
0xc19507510d685e14,1,skill-v1-user,971,0
0xfa3649e8d0cbbb63,1,no-skill,989,0
0xfa3649e8d0cbbb63,1,skill-v1-sys,1313,0
0xfa3649e8d0cbbb63,1,skill-v1-user,1334,0
0xf3c68e8cead68254,1,no-skill,463,0
0xf3c68e8cead68254,1,skill-v1-sys,787,0
0xf3c68e8cead68254,1,skill-v1-user,808,0
0x660b20f69e6ec8ea,1,no-skill,536,0
0x660b20f69e6ec8ea,1,skill-v1-sys,860,0
0x660b20f69e6ec8ea,1,skill-v1-user,881,0
0xc22a1d6858e09cfa,1,no-skill,508,0
0xc22a1d6858e09cfa,1,skill-v1-sys,832,0
0xc22a1d6858e09cfa,1,skill-v1-user,853,0
0xff43b50e0a400556,1,no-skill,495,0
0xff43b50e0a400556,1,skill-v1-sys,819,0
0xff43b50e0a400556,1,skill-v1-user,840,0
0x2a3ed3e83a3dcdd5,1,no-skill,426,0
0x2a3ed3e83a3dcdd5,1,skill-v1-sys,750,0
0x2a3ed3e83a3dcdd5,1,skill-v1-user,771,0
0xb9a482173c3012dd,1,no-skill,434,0
0xb9a482173c3012dd,1,skill-v1-sys,758,0
0xb9a482173c3012dd,1,skill-v1-user,779,0
0x5fdb1cddefc9ee0a,1,no-skill,529,0
0x5fdb1cddefc9ee0a,1,skill-v1-sys,853,0
0x5fdb1cddefc9ee0a,1,skill-v1-user,874,0
0xd8528ee79c729cd6,1,no-skill,610,0
0xd8528ee79c729cd6,1,skill-v1-sys,934,0
0xd8528ee79c729cd6,1,skill-v1-user,955,0
0xa13bc3f2180313b1,1,no-skill,416,0
0xa13bc3f2180313b1,1,skill-v1-sys,740,0
0xa13bc3f2180313b1,1,skill-v1-user,761,0
0x6be3a26bd58bde96,1,no-skill,581,0
0x6be3a26bd58bde96,1,skill-v1-sys,905,0
0x6be3a26bd58bde96,1,skill-v1-user,926,0
0x91d0db24b8f96501,1,no-skill,642,0
0x91d0db24b8f96501,1,skill-v1-sys,966,0
0x91d0db24b8f96501,1,skill-v1-user,987,0
0x850cafa75091082,1,no-skill,521,0
0x850cafa75091082,1,skill-v1-sys,845,0
0x850cafa75091082,1,skill-v1-user,866,0
0x2a831900d659c38c,1,no-skill,488,0
0x2a831900d659c38c,1,skill-v1-sys,812,0
0x2a831900d659c38c,1,skill-v1-user,833,0
0xcf2259378a0c65f5,1,no-skill,639,0
0xcf2259378a0c65f5,1,skill-v1-sys,963,0
0xcf2259378a0c65f5,1,skill-v1-user,984,0
0x5c748d057d3d9da,1,no-skill,564,0
0x5c748d057d3d9da,1,skill-v1-sys,888,0
0x5c748d057d3d9da,1,skill-v1-user,909,0
0x881aa0f8da68085e,1,no-skill,737,0
0x881aa0f8da68085e,1,skill-v1-sys,1061,0
0x881aa0f8da68085e,1,skill-v1-user,1082,0
0x57961d7d56d64be,1,no-skill,495,0
0x57961d7d56d64be,1,skill-v1-sys,819,0
0x57961d7d56d64be,1,skill-v1-user,840,0
0x715209b2c9d70179,1,no-skill,1236,0
0x715209b2c9d70179,1,skill-v1-sys,1560,0
0x715209b2c9d70179,1,skill-v1-user,1581,0
0x1e68c03d4d6aea77,1,no-skill,404,0
0x1e68c03d4d6aea77,1,skill-v1-sys,728,0
0x1e68c03d4d6aea77,1,skill-v1-user,749,0
0xe0254f8df0fde9bd,1,no-skill,505,0
0xe0254f8df0fde9bd,1,skill-v1-sys,829,0
0xe0254f8df0fde9bd,1,skill-v1-user,850,0
0x85eddb053288356,1,no-skill,556,0
0x85eddb053288356,1,skill-v1-sys,880,0
0x85eddb053288356,1,skill-v1-user,901,0
0x37d5b6179e6f15ab,1,no-skill,1201,0
0x37d5b6179e6f15ab,1,skill-v1-sys,1525,0
0x37d5b6179e6f15ab,1,skill-v1-user,1546,0
0xd07abbc72ed55098,1,no-skill,400,0
0xd07abbc72ed55098,1,skill-v1-sys,724,0
0xd07abbc72ed55098,1,skill-v1-user,745,0
0x9962b51da2af3d49,1,no-skill,411,0
0x9962b51da2af3d49,1,skill-v1-sys,735,0
0x9962b51da2af3d49,1,skill-v1-user,756,0
0x8403c5a79bac3b71,1,no-skill,480,0
0x8403c5a79bac3b71,1,skill-v1-sys,804,0
0x8403c5a79bac3b71,1,skill-v1-user,825,0
0x177d58df31da2558,1,no-skill,893,0
0x177d58df31da2558,1,skill-v1-sys,1217,0
0x177d58df31da2558,1,skill-v1-user,1238,0
0x19f93406e8d2cf9f,1,no-skill,449,0
0x19f93406e8d2cf9f,1,skill-v1-sys,773,0
0x19f93406e8d2cf9f,1,skill-v1-user,794,0
0x2081a81f15a022c0,1,no-skill,822,0
0x2081a81f15a022c0,1,skill-v1-sys,1146,0
0x2081a81f15a022c0,1,skill-v1-user,1167,0
0x841a23836475181c,1,no-skill,639,0
0x841a23836475181c,1,skill-v1-sys,963,0
0x841a23836475181c,1,skill-v1-user,984,0
0x63f5f8bd51295291,1,no-skill,564,0
0x63f5f8bd51295291,1,skill-v1-sys,888,0
0x63f5f8bd51295291,1,skill-v1-user,909,0
0xc1f5413ebff6b3e8,1,no-skill,515,0
0xc1f5413ebff6b3e8,1,skill-v1-sys,839,0
0xc1f5413ebff6b3e8,1,skill-v1-user,860,0
0x5d813d8b39432ea5,1,no-skill,461,0
0x5d813d8b39432ea5,1,skill-v1-sys,785,0
0x5d813d8b39432ea5,1,skill-v1-user,806,0
0xd36eb52330fc557,1,no-skill,735,0
0xd36eb52330fc557,1,skill-v1-sys,1059,0
0xd36eb52330fc557,1,skill-v1-user,1080,0
0x5546882a8d780b61,1,no-skill,559,0
0x5546882a8d780b61,1,skill-v1-sys,883,0
0x5546882a8d780b61,1,skill-v1-user,904,0
0xfb931da61653350e,1,no-skill,490,0
0xfb931da61653350e,1,skill-v1-sys,814,0
0xfb931da61653350e,1,skill-v1-user,835,0
0xdb268ac97096c5a2,1,no-skill,417,0
0xdb268ac97096c5a2,1,skill-v1-sys,741,0
0xdb268ac97096c5a2,1,skill-v1-user,762,0
0xbb56e77eb589c49a,1,no-skill,467,0
0xbb56e77eb589c49a,1,skill-v1-sys,791,0
0xbb56e77eb589c49a,1,skill-v1-user,812,0
0xc4730e0119ed499,1,no-skill,422,0
0xc4730e0119ed499,1,skill-v1-sys,746,0
0xc4730e0119ed499,1,skill-v1-user,767,0
0x6355b919b76abe1a,1,no-skill,574,0
0x6355b919b76abe1a,1,skill-v1-sys,898,0
0x6355b919b76abe1a,1,skill-v1-user,919,0
0xb29a868e4acf4026,1,no-skill,430,0
0xb29a868e4acf4026,1,skill-v1-sys,754,0
0xb29a868e4acf4026,1,skill-v1-user,775,0
0xdff6d14d43eb62c8,1,no-skill,551,0
0xdff6d14d43eb62c8,1,skill-v1-sys,875,0
0xdff6d14d43eb62c8,1,skill-v1-user,896,0
0x3d604188ee059f4a,1,no-skill,557,0
0x3d604188ee059f4a,1,skill-v1-sys,881,0
0x3d604188ee059f4a,1,skill-v1-user,902,0
0xa4989adfac6a7807,1,no-skill,413,0
0xa4989adfac6a7807,1,skill-v1-sys,737,0
0xa4989adfac6a7807,1,skill-v1-user,758,0
0xd7f34a377c681a49,1,no-skill,495,0
0xd7f34a377c681a49,1,skill-v1-sys,819,0
0xd7f34a377c681a49,1,skill-v1-user,840,0
0x4d88ae8e69ba37c4,1,no-skill,1436,0
0x4d88ae8e69ba37c4,1,skill-v1-sys,1760,0
0x4d88ae8e69ba37c4,1,skill-v1-user,1781,0
0x40b09c4a8d30bfc8,1,no-skill,733,0
0x40b09c4a8d30bfc8,1,skill-v1-sys,1057,0
0x40b09c4a8d30bfc8,1,skill-v1-user,1078,0
0x355f08a0054efc19,1,no-skill,671,0
0x355f08a0054efc19,1,skill-v1-sys,995,0
0x355f08a0054efc19,1,skill-v1-user,1016,0
0xd29208b65852996d,1,no-skill,677,0
0xd29208b65852996d,1,skill-v1-sys,1001,0
0xd29208b65852996d,1,skill-v1-user,1022,0
0xa1db3b0a9b53138f,1,no-skill,801,0
0xa1db3b0a9b53138f,1,skill-v1-sys,1125,0
0xa1db3b0a9b53138f,1,skill-v1-user,1146,0
0x1bfc93248326a554,1,no-skill,510,0
0x1bfc93248326a554,1,skill-v1-sys,834,0
0x1bfc93248326a554,1,skill-v1-user,855,0
0x7a457c403cfa15d7,1,no-skill,454,0
0x7a457c403cfa15d7,1,skill-v1-sys,778,0
0x7a457c403cfa15d7,1,skill-v1-user,799,0
0x85635d607b3787a4,1,no-skill,1341,0
0x85635d607b3787a4,1,skill-v1-sys,1665,0
0x85635d607b3787a4,1,skill-v1-user,1686,0
0x29d4e35121cd515f,1,no-skill,456,0
0x29d4e35121cd515f,1,skill-v1-sys,780,0
0x29d4e35121cd515f,1,skill-v1-user,801,0
0x8f5d7f73e3ae9715,1,no-skill,404,0
0x8f5d7f73e3ae9715,1,skill-v1-sys,728,0
0x8f5d7f73e3ae9715,1,skill-v1-user,749,0
0x841fbacee7b47309,1,no-skill,400,0
0x841fbacee7b47309,1,skill-v1-sys,724,0
0x841fbacee7b47309,1,skill-v1-user,745,0
0xae6313c884f3d683,1,no-skill,631,0
0xae6313c884f3d683,1,skill-v1-sys,955,0
0xae6313c884f3d683,1,skill-v1-user,976,0
0x78337d3ef04b87c4,1,no-skill,1236,0
0x78337d3ef04b87c4,1,skill-v1-sys,1560,0
0x78337d3ef04b87c4,1,skill-v1-user,1581,0
0x2397149a4d9acbfc,1,no-skill,404,0
0x2397149a4d9acbfc,1,skill-v1-sys,728,0
0x2397149a4d9acbfc,1,skill-v1-user,749,0
0x9eeef1f49b883827,1,no-skill,695,0
0x9eeef1f49b883827,1,skill-v1-sys,1019,0
0x9eeef1f49b883827,1,skill-v1-user,1040,0
0xb049b3ae105a407c,1,no-skill,381,0
0xb049b3ae105a407c,1,skill-v1-sys,705,0
0xb049b3ae105a407c,1,skill-v1-user,726,0
0x99aec6da099eb94b,1,no-skill,615,0
0x99aec6da099eb94b,1,skill-v1-sys,939,0
0x99aec6da099eb94b,1,skill-v1-user,960,0
0xf7ecea75609151b,1,no-skill,411,0
0xf7ecea75609151b,1,skill-v1-sys,735,0
0xf7ecea75609151b,1,skill-v1-user,756,0
0x32e1395ec4158411,1,no-skill,940,0
0x32e1395ec4158411,1,skill-v1-sys,1264,0
0x32e1395ec4158411,1,skill-v1-user,1285,0
0xfe9608288ef3f278,1,no-skill,556,0
0xfe9608288ef3f278,1,skill-v1-sys,880,0
0xfe9608288ef3f278,1,skill-v1-user,901,0
0x4ddf4c4a8ce64b7c,1,no-skill,485,0
0x4ddf4c4a8ce64b7c,1,skill-v1-sys,809,0
0x4ddf4c4a8ce64b7c,1,skill-v1-user,830,0
0x8701d9fb11efe3cf,1,no-skill,520,0
0x8701d9fb11efe3cf,1,skill-v1-sys,844,0
0x8701d9fb11efe3cf,1,skill-v1-user,865,0
0x1ae7d3b6884d3e33,1,no-skill,476,0
0x1ae7d3b6884d3e33,1,skill-v1-sys,800,0
0x1ae7d3b6884d3e33,1,skill-v1-user,821,0
0x36ad4c8c459703de,1,no-skill,470,0
0x36ad4c8c459703de,1,skill-v1-sys,794,0
0x36ad4c8c459703de,1,skill-v1-user,815,0
0xaff694b43630250,1,no-skill,614,0
0xaff694b43630250,1,skill-v1-sys,938,0
0xaff694b43630250,1,skill-v1-user,959,0
0x860b741c5e4d6137,1,no-skill,544,0
0x860b741c5e4d6137,1,skill-v1-sys,868,0
0x860b741c5e4d6137,1,skill-v1-user,889,0
0x1a00c2cbdd1eedff,1,no-skill,389,0
0x1a00c2cbdd1eedff,1,skill-v1-sys,713,0
0x1a00c2cbdd1eedff,1,skill-v1-user,734,0
0xac909bb0f5346d28,1,no-skill,530,0
0xac909bb0f5346d28,1,skill-v1-sys,854,0
0xac909bb0f5346d28,1,skill-v1-user,875,0
0xb8efb3727db3aad,1,no-skill,801,0
0xb8efb3727db3aad,1,skill-v1-sys,1125,0
0xb8efb3727db3aad,1,skill-v1-user,1146,0
